ID do Acadêmico;ID do Professor;ID do Aluno
ACADÊMICO_1;PROFESSOR_1;
ACADÊMICO_2;PROFESSOR_2;
ACADÊMICO_3;PROFESSOR_3;
ACADÊMICO_4;PROFESSOR_4;
ACADÊMICO_5;PROFESSOR_5;
ACADÊMICO_6;PROFESSOR_6;
ACADÊMICO_7;PROFESSOR_7;
ACADÊMICO_8;PROFESSOR_8;
ACADÊMICO_9;PROFESSOR_9;
ACADÊMICO_10;PROFESSOR_10;
ACADÊMICO_11;PROFESSOR_11;
ACADÊMICO_12;PROFESSOR_12;
ACADÊMICO_13;PROFESSOR_13;
ACADÊMICO_14;PROFESSOR_14;
ACADÊMICO_15;PROFESSOR_15;
ACADÊMICO_16;PROFESSOR_16;
ACADÊMICO_17;PROFESSOR_17;
ACADÊMICO_18;PROFESSOR_18;
ACADÊMICO_19;PROFESSOR_19;
ACADÊMICO_20;PROFESSOR_20;
ACADÊMICO_21;PROFESSOR_21;
ACADÊMICO_22;PROFESSOR_22;
ACADÊMICO_23;PROFESSOR_23;
ACADÊMICO_24;PROFESSOR_24;
ACADÊMICO_25;PROFESSOR_25;
ACADÊMICO_26;PROFESSOR_26;
ACADÊMICO_27;PROFESSOR_27;
ACADÊMICO_28;PROFESSOR_28;
ACADÊMICO_29;PROFESSOR_29;
ACADÊMICO_30;PROFESSOR_30;
ACADÊMICO_31;PROFESSOR_31;
ACADÊMICO_32;PROFESSOR_32;
ACADÊMICO_33;PROFESSOR_33;
ACADÊMICO_34;PROFESSOR_34;
ACADÊMICO_35;PROFESSOR_35;
ACADÊMICO_36;PROFESSOR_36;
ACADÊMICO_37;PROFESSOR_37;
ACADÊMICO_38;PROFESSOR_38;
ACADÊMICO_39;PROFESSOR_39;
ACADÊMICO_40;PROFESSOR_40;
ACADÊMICO_41;PROFESSOR_41;
ACADÊMICO_42;PROFESSOR_42;
ACADÊMICO_43;PROFESSOR_43;
ACADÊMICO_44;PROFESSOR_44;
ACADÊMICO_45;PROFESSOR_45;
ACADÊMICO_46;PROFESSOR_46;
ACADÊMICO_47;PROFESSOR_47;
ACADÊMICO_48;PROFESSOR_48;
ACADÊMICO_49;PROFESSOR_49;
ACADÊMICO_50;PROFESSOR_50;
ACADÊMICO_51;PROFESSOR_51;
ACADÊMICO_52;PROFESSOR_52;
ACADÊMICO_53;PROFESSOR_53;
ACADÊMICO_54;PROFESSOR_54;
ACADÊMICO_55;PROFESSOR_55;
ACADÊMICO_56;PROFESSOR_56;
ACADÊMICO_57;PROFESSOR_57;
ACADÊMICO_58;PROFESSOR_58;
ACADÊMICO_59;PROFESSOR_59;
ACADÊMICO_60;PROFESSOR_60;
ACADÊMICO_61;PROFESSOR_61;
ACADÊMICO_62;PROFESSOR_62;
ACADÊMICO_63;PROFESSOR_63;
ACADÊMICO_64;PROFESSOR_64;
ACADÊMICO_65;PROFESSOR_65;
ACADÊMICO_66;PROFESSOR_66;
ACADÊMICO_67;PROFESSOR_67;
ACADÊMICO_68;PROFESSOR_68;
ACADÊMICO_69;PROFESSOR_69;
ACADÊMICO_70;PROFESSOR_70;
ACADÊMICO_71;PROFESSOR_71;
ACADÊMICO_72;PROFESSOR_72;
ACADÊMICO_73;PROFESSOR_73;
ACADÊMICO_74;PROFESSOR_74;
ACADÊMICO_75;PROFESSOR_75;
ACADÊMICO_76;PROFESSOR_76;
ACADÊMICO_77;PROFESSOR_77;
ACADÊMICO_78;PROFESSOR_78;
ACADÊMICO_79;PROFESSOR_79;
ACADÊMICO_80;PROFESSOR_80;
ACADÊMICO_81;PROFESSOR_81;
ACADÊMICO_82;PROFESSOR_82;
ACADÊMICO_83;PROFESSOR_83;
ACADÊMICO_84;PROFESSOR_84;
ACADÊMICO_85;PROFESSOR_85;
ACADÊMICO_86;PROFESSOR_86;
ACADÊMICO_87;PROFESSOR_87;
ACADÊMICO_88;PROFESSOR_88;
ACADÊMICO_89;PROFESSOR_89;
ACADÊMICO_90;PROFESSOR_90;
ACADÊMICO_91;PROFESSOR_91;
