Dia;Hora;Sala;Disciplina;Turma
2;8;210M;DISCIPLINA_1;T01
2;8;303I;DISCIPLINA_2;T01
2;8;304I;DISCIPLINA_3;T01
2;8;209M;DISCIPLINA_4;T01
2;8;101I;DISCIPLINA_5;T01
2;8;102I;DISCIPLINA_6;T01
2;8;103I;DISCIPLINA_7;T01
2;8;104I;DISCIPLINA_8;T01
2;8;201A;DISCIPLINA_9;T01
2;8;202A;DISCIPLINA_10;T01
2;8;203A;DISCIPLINA_11;T01
2;8;204A;DISCIPLINA_12;T01
2;10;303I;DISCIPLINA_13;T01
2;10;304I;DISCIPLINA_14;T01
2;10;209M;DISCIPLINA_15;T01
2;10;101I;DISCIPLINA_16;T01
2;10;102I;DISCIPLINA_17;T01
2;10;103I;DISCIPLINA_18;T01
2;10;104I;DISCIPLINA_19;T01
2;10;201A;DISCIPLINA_9;T01
2;10;202A;DISCIPLINA_10;T01
2;10;203A;DISCIPLINA_11;T01
2;10;204A;DISCIPLINA_20;T01
2;14;302I;DISCIPLINA_21;T01
2;14;303I;DISCIPLINA_22;T01
2;14;304I;DISCIPLINA_23;T01
2;14;101I;DISCIPLINA_24;P01
2;14;203A;DISCIPLINA_25;T01
2;16;302I;DISCIPLINA_26;T01
2;16;303I;DISCIPLINA_27;T01
2;16;304M;DISCIPLINA_28;T01
2;16;303M;DISCIPLINA_29;T01
2;16;302M;DISCIPLINA_30;T01
2;16;301B;DISCIPLINA_31;T01
2;16;302B;DISCIPLINA_32;T01
2;16;303B;DISCIPLINA_33;T01
2;18;201B;DISCIPLINA_154;T01
2;18;202B;DISCIPLINA_35;T01
2;18;203B;DISCIPLINA_155;T01
2;18;204I;DISCIPLINA_156;T01
2;18;204A;DISCIPLINA_214;T01
2;18;304I;DISCIPLINA_215;T01
2;18;204B;DISCIPLINA_181;T01
2;18;302B;DISCIPLINA_217;T01
2;18;303B;DISCIPLINA_108;T01
2;18;102I;DISCIPLINA_163;T01
2;18;209M;DISCIPLINA_63;T01
2;18;201M;DISCIPLINA_51;T01
2;18;202M;DISCIPLINA_66;T01
2;18;203M;DISCIPLINA_167;T01
2;18;203A;DISCIPLINA_170;T01
2;18;309M;DISCIPLINA_28;T01
2;18;302M;DISCIPLINA_229;T02
2;18;301M;DISCIPLINA_230;T01
2;18;303A;DISCIPLINA_231;T01
2;18;302A;DISCIPLINA_232;T01
2;18;301I;DISCIPLINA_179;T01
2;18;302I;DISCIPLINA_220;T02
2;18;201I;DISCIPLINA_10;T02
2;18;103I;DISCIPLINA_237;T01
2;18;310M;DISCIPLINA_184;T01
2;18;304A;DISCIPLINA_10;T01
2;18;305A;DISCIPLINA_220;T01
2;18;207M;DISCIPLINA_143;T02
2;18;106P;DISCIPLINA_188;T01
2;18;110P;DISCIPLINA_275;T02
2;18;107P;DISCIPLINA_73;T01
2;20;210M;DISCIPLINA_34;T01
2;20;201B;DISCIPLINA_35;T01
2;20;202B;DISCIPLINA_36;T01
2;20;203B;DISCIPLINA_37;T01
2;20;204I;DISCIPLINA_38;T01
2;20;204A;DISCIPLINA_39;T01
2;20;304I;DISCIPLINA_40;T01
2;20;204B;DISCIPLINA_41;T01
2;20;301B;DISCIPLINA_42;T01
2;20;302B;DISCIPLINA_43;T01
2;20;303B;DISCIPLINA_44;T01
2;20;101I;DISCIPLINA_31;T01
2;20;102I;DISCIPLINA_45;T01
2;20;304B;DISCIPLINA_46;T01
2;20;209M;DISCIPLINA_10;T01
2;20;201M;DISCIPLINA_51;T01
2;20;202M;DISCIPLINA_48;T01
2;20;203M;DISCIPLINA_49;T01
2;20;204M;DISCIPLINA_50;T01
2;20;202A;DISCIPLINA_52;T01
2;20;203A;DISCIPLINA_53;T01
2;20;309M;DISCIPLINA_54;T01
2;20;304M;DISCIPLINA_55;T01
2;20;303M;DISCIPLINA_56;T04
2;20;302M;DISCIPLINA_57;T01
2;20;301M;DISCIPLINA_58;T01
2;20;303A;DISCIPLINA_59;T01
2;20;302A;DISCIPLINA_60;T01
2;20;301A;DISCIPLINA_61;T01
2;20;301I;DISCIPLINA_62;T01
2;20;302I;DISCIPLINA_63;T01
2;20;201I;DISCIPLINA_64;T02
2;20;202I;DISCIPLINA_65;T01
2;20;103I;DISCIPLINA_66;T02
2;20;105P;DISCIPLINA_67;T01
2;20;310M;DISCIPLINA_68;T01
2;20;203I;DISCIPLINA_69;T01
2;20;304A;DISCIPLINA_70;T01
2;20;305A;DISCIPLINA_64;T01
2;20;207M;DISCIPLINA_66;T01
2;20;106P;DISCIPLINA_71;T01
2;20;110P;DISCIPLINA_72;T01
2;20;107P;DISCIPLINA_73;T01
3;8;210M;DISCIPLINA_74;T01
3;8;303I;DISCIPLINA_75;T01
3;8;304I;DISCIPLINA_76;T01
3;8;209M;DISCIPLINA_4;T01
3;8;101I;DISCIPLINA_16;T01
3;8;102I;DISCIPLINA_77;T01
3;8;103I;DISCIPLINA_78;T01
3;8;104I;DISCIPLINA_79;T01
3;8;201A;DISCIPLINA_80;T01
3;8;202A;DISCIPLINA_64;T01
3;8;204A;DISCIPLINA_81;T01
3;10;301I;DISCIPLINA_82;T01
3;10;303I;DISCIPLINA_83;T01
3;10;304I;DISCIPLINA_84;T01
3;10;209M;DISCIPLINA_85;T02
3;10;101I;DISCIPLINA_86;T02
3;10;102I;DISCIPLINA_87;T01
3;10;103I;DISCIPLINA_88;T01
3;10;104I;DISCIPLINA_89;T02
3;10;201A;DISCIPLINA_80;T01
3;10;202A;DISCIPLINA_90;T02
3;10;203A;DISCIPLINA_91;T01
3;10;204A;DISCIPLINA_92;T01
3;14;302I;DISCIPLINA_93;T01
3;14;304I;DISCIPLINA_94;T01
3;14;101I;DISCIPLINA_95;P01
