academic_id;notification_day;mask_type;affected_people_count;case_1;case_2;case_3;case_4;case_5;case_6
ACADÊMICO_1;3;no_mask;55;0.372935;0.021336;0.012458;0.006241;0.053766;0.041897
ACADÊMICO_1;3;surgery_mask;55;0.110354;0.005378;0.003129;0.001564;0.013725;0.010645
ACADÊMICO_1;3;n95_mask;55;0.001169;0.000054;0.000031;0.000016;0.000138;0.000107
ACADÊMICO_1;4;no_mask;55;0.372935;0.021336;0.012458;0.006241;0.053766;0.041897
ACADÊMICO_1;4;surgery_mask;55;0.110354;0.005378;0.003129;0.001564;0.013725;0.010645
ACADÊMICO_1;4;n95_mask;55;0.001169;0.000054;0.000031;0.000016;0.000138;0.000107
ACADÊMICO_1;5;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_1;5;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_1;5;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_1;6;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_1;6;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_1;6;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_1;7;no_mask;55;0.372935;0.021336;0.012458;0.006241;0.053766;0.041897
ACADÊMICO_1;7;surgery_mask;55;0.110354;0.005378;0.003129;0.001564;0.013725;0.010645
ACADÊMICO_1;7;n95_mask;55;0.001169;0.000054;0.000031;0.000016;0.000138;0.000107
ACADÊMICO_1;1;no_mask;55;0.372935;0.021336;0.012458;0.006241;0.053766;0.041897
ACADÊMICO_1;1;surgery_mask;55;0.110354;0.005378;0.003129;0.001564;0.013725;0.010645
ACADÊMICO_1;1;n95_mask;55;0.001169;0.000054;0.000031;0.000016;0.000138;0.000107
ACADÊMICO_2;3;no_mask;69;0.432628;0.025934;0.015159;0.007599;0.065095;0.050799
ACADÊMICO_2;3;surgery_mask;69;0.132674;0.006549;0.003812;0.001905;0.016698;0.012956
ACADÊMICO_2;3;n95_mask;69;0.001425;0.000066;0.000038;0.000019;0.000168;0.000130
ACADÊMICO_2;4;no_mask;69;0.432628;0.025934;0.015159;0.007599;0.065095;0.050799
ACADÊMICO_2;4;surgery_mask;69;0.132674;0.006549;0.003812;0.001905;0.016698;0.012956
ACADÊMICO_2;4;n95_mask;69;0.001425;0.000066;0.000038;0.000019;0.000168;0.000130
ACADÊMICO_2;5;no_mask;69;0.432628;0.025934;0.015159;0.007599;0.065095;0.050799
ACADÊMICO_2;5;surgery_mask;69;0.132674;0.006549;0.003812;0.001905;0.016698;0.012956
ACADÊMICO_2;5;n95_mask;69;0.001425;0.000066;0.000038;0.000019;0.000168;0.000130
ACADÊMICO_2;6;no_mask;69;0.432628;0.025934;0.015159;0.007599;0.065095;0.050799
ACADÊMICO_2;6;surgery_mask;69;0.132674;0.006549;0.003812;0.001905;0.016698;0.012956
ACADÊMICO_2;6;n95_mask;69;0.001425;0.000066;0.000038;0.000019;0.000168;0.000130
ACADÊMICO_2;7;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_2;7;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_2;7;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_2;1;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_2;1;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_2;1;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_3;3;no_mask;88;0.431098;0.025780;0.015068;0.007553;0.064724;0.050505
ACADÊMICO_3;3;surgery_mask;88;0.131969;0.006510;0.003789;0.001894;0.016598;0.012878
ACADÊMICO_3;3;n95_mask;88;0.001416;0.000065;0.000038;0.000019;0.000167;0.000130
ACADÊMICO_3;4;no_mask;88;0.431098;0.025780;0.015068;0.007553;0.064724;0.050505
ACADÊMICO_3;4;surgery_mask;88;0.131969;0.006510;0.003789;0.001894;0.016598;0.012878
ACADÊMICO_3;4;n95_mask;88;0.001416;0.000065;0.000038;0.000019;0.000167;0.000130
ACADÊMICO_3;5;no_mask;88;0.431098;0.025780;0.015068;0.007553;0.064724;0.050505
ACADÊMICO_3;5;surgery_mask;88;0.131969;0.006510;0.003789;0.001894;0.016598;0.012878
ACADÊMICO_3;5;n95_mask;88;0.001416;0.000065;0.000038;0.000019;0.000167;0.000130
ACADÊMICO_3;6;no_mask;88;0.431098;0.025780;0.015068;0.007553;0.064724;0.050505
ACADÊMICO_3;6;surgery_mask;88;0.131969;0.006510;0.003789;0.001894;0.016598;0.012878
ACADÊMICO_3;6;n95_mask;88;0.001416;0.000065;0.000038;0.000019;0.000167;0.000130
ACADÊMICO_3;7;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_3;7;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_3;7;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_3;1;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_3;1;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_3;1;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;3;no_mask;46;0.353208;0.019879;0.011603;0.005811;0.050162;0.039070
ACADÊMICO_4;3;surgery_mask;46;0.103209;0.005007;0.002914;0.001456;0.012784;0.009914
ACADÊMICO_4;3;n95_mask;46;0.001089;0.000050;0.000029;0.000015;0.000129;0.000100
ACADÊMICO_4;4;no_mask;46;0.581660;0.039364;0.023072;0.011588;0.097808;0.076613
ACADÊMICO_4;4;surgery_mask;46;0.195766;0.009990;0.005819;0.002910;0.025404;0.019729
ACADÊMICO_4;4;n95_mask;46;0.002176;0.000100;0.000058;0.000029;0.000257;0.000199
ACADÊMICO_4;5;no_mask;46;0.353208;0.019879;0.011603;0.005811;0.050162;0.039070
ACADÊMICO_4;5;surgery_mask;46;0.103209;0.005007;0.002914;0.001456;0.012784;0.009914
ACADÊMICO_4;5;n95_mask;46;0.001089;0.000050;0.000029;0.000015;0.000129;0.000100
ACADÊMICO_4;6;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;6;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;6;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;7;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;7;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;7;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;1;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;1;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_4;1;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_5;3;no_mask;73;0.425542;0.025222;0.014738;0.007387;0.063375;0.049437
ACADÊMICO_5;3;surgery_mask;73;0.129408;0.006366;0.003705;0.001852;0.016235;0.012595
ACADÊMICO_5;3;n95_mask;73;0.001385;0.000064;0.000037;0.000019;0.000164;0.000127
ACADÊMICO_5;4;no_mask;73;0.425542;0.025222;0.014738;0.007387;0.063375;0.049437
ACADÊMICO_5;4;surgery_mask;73;0.129408;0.006366;0.003705;0.001852;0.016235;0.012595
ACADÊMICO_5;4;n95_mask;73;0.001385;0.000064;0.000037;0.000019;0.000164;0.000127
ACADÊMICO_5;5;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_5;5;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_5;5;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_5;6;no_mask;73;0.425542;0.025222;0.014738;0.007387;0.063375;0.049437
ACADÊMICO_5;6;surgery_mask;73;0.129408;0.006366;0.003705;0.001852;0.016235;0.012595
ACADÊMICO_5;6;n95_mask;73;0.001385;0.000064;0.000037;0.000019;0.000164;0.000127
ACADÊMICO_5;7;no_mask;73;0.425542;0.025222;0.014738;0.007387;0.063375;0.049437
ACADÊMICO_5;7;surgery_mask;73;0.129408;0.006366;0.003705;0.001852;0.016235;0.012595
ACADÊMICO_5;7;n95_mask;73;0.001385;0.000064;0.000037;0.000019;0.000164;0.000127
ACADÊMICO_5;1;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_5;1;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_5;1;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_6;3;no_mask;67;0.429191;0.025589;0.014955;0.007496;0.064261;0.050138
ACADÊMICO_6;3;surgery_mask;67;0.131090;0.006460;0.003760;0.001879;0.016473;0.012781
ACADÊMICO_6;3;n95_mask;67;0.001406;0.000065;0.000038;0.000019;0.000166;0.000129
ACADÊMICO_6;4;no_mask;67;0.429191;0.025589;0.014955;0.007496;0.064261;0.050138
ACADÊMICO_6;4;surgery_mask;67;0.131090;0.006460;0.003760;0.001879;0.016473;0.012781
ACADÊMICO_6;4;n95_mask;67;0.001406;0.000065;0.000038;0.000019;0.000166;0.000129
ACADÊMICO_6;5;no_mask;34;0.425542;0.025222;0.014738;0.007387;0.063375;0.049437
ACADÊMICO_6;5;surgery_mask;34;0.129408;0.006366;0.003705;0.001852;0.016235;0.012595
ACADÊMICO_6;5;n95_mask;34;0.001385;0.000064;0.000037;0.000019;0.000164;0.000127
ACADÊMICO_6;6;no_mask;34;0.425542;0.025222;0.014738;0.007387;0.063375;0.049437
ACADÊMICO_6;6;surgery_mask;34;0.129408;0.006366;0.003705;0.001852;0.016235;0.012595
ACADÊMICO_6;6;n95_mask;34;0.001385;0.000064;0.000037;0.000019;0.000164;0.000127
ACADÊMICO_6;7;no_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_6;7;surgery_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ACADÊMICO_6;7;n95_mask;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
