Disciplina;Turma;ID do Acadêmico
DISCIPLINA_1;T01;ACADÊMICO_1
DISCIPLINA_1;T01;ACADÊMICO_165
DISCIPLINA_1;T01;ACADÊMICO_166
DISCIPLINA_1;T01;ACADÊMICO_167
DISCIPLINA_1;T01;ACADÊMICO_168
DISCIPLINA_1;T01;ACADÊMICO_169
DISCIPLINA_1;T01;ACADÊMICO_170
DISCIPLINA_1;T01;ACADÊMICO_171
DISCIPLINA_1;T01;ACADÊMICO_172
DISCIPLINA_1;T01;ACADÊMICO_173
DISCIPLINA_1;T01;ACADÊMICO_174
DISCIPLINA_1;T01;ACADÊMICO_175
DISCIPLINA_1;T01;ACADÊMICO_176
DISCIPLINA_1;T01;ACADÊMICO_177
DISCIPLINA_1;T01;ACADÊMICO_178
DISCIPLINA_1;T01;ACADÊMICO_179
DISCIPLINA_1;T01;ACADÊMICO_180
DISCIPLINA_1;T01;ACADÊMICO_181
DISCIPLINA_1;T01;ACADÊMICO_182
DISCIPLINA_1;T01;ACADÊMICO_183
DISCIPLINA_1;T01;ACADÊMICO_184
DISCIPLINA_1;T01;ACADÊMICO_185
DISCIPLINA_1;T01;ACADÊMICO_186
DISCIPLINA_1;T01;ACADÊMICO_187
DISCIPLINA_1;T01;ACADÊMICO_188
DISCIPLINA_1;T01;ACADÊMICO_189
DISCIPLINA_1;T01;ACADÊMICO_190
DISCIPLINA_1;T01;ACADÊMICO_191
DISCIPLINA_1;T01;ACADÊMICO_192
DISCIPLINA_1;T01;ACADÊMICO_193
DISCIPLINA_1;T01;ACADÊMICO_194
DISCIPLINA_1;T01;ACADÊMICO_195
DISCIPLINA_1;T01;ACADÊMICO_196
DISCIPLINA_1;T01;ACADÊMICO_197
DISCIPLINA_1;T01;ACADÊMICO_198
DISCIPLINA_1;T01;ACADÊMICO_199
DISCIPLINA_1;T01;ACADÊMICO_200
DISCIPLINA_1;T01;ACADÊMICO_201
DISCIPLINA_1;T01;ACADÊMICO_202
DISCIPLINA_1;T01;ACADÊMICO_203
DISCIPLINA_1;T01;ACADÊMICO_204
DISCIPLINA_2;T01;ACADÊMICO_2
DISCIPLINA_2;T01;ACADÊMICO_205
DISCIPLINA_2;T01;ACADÊMICO_206
DISCIPLINA_2;T01;ACADÊMICO_207
DISCIPLINA_2;T01;ACADÊMICO_208
DISCIPLINA_2;T01;ACADÊMICO_209
DISCIPLINA_2;T01;ACADÊMICO_210
DISCIPLINA_2;T01;ACADÊMICO_211
DISCIPLINA_2;T01;ACADÊMICO_212
DISCIPLINA_2;T01;ACADÊMICO_213
DISCIPLINA_2;T01;ACADÊMICO_214
DISCIPLINA_2;T01;ACADÊMICO_215
DISCIPLINA_2;T01;ACADÊMICO_216
DISCIPLINA_2;T01;ACADÊMICO_217
DISCIPLINA_2;T01;ACADÊMICO_218
DISCIPLINA_2;T01;ACADÊMICO_219
DISCIPLINA_2;T01;ACADÊMICO_220
DISCIPLINA_2;T01;ACADÊMICO_221
DISCIPLINA_2;T01;ACADÊMICO_222
DISCIPLINA_2;T01;ACADÊMICO_223
DISCIPLINA_2;T01;ACADÊMICO_224
DISCIPLINA_2;T01;ACADÊMICO_190
DISCIPLINA_2;T01;ACADÊMICO_225
DISCIPLINA_2;T01;ACADÊMICO_226
DISCIPLINA_2;T01;ACADÊMICO_227
DISCIPLINA_2;T01;ACADÊMICO_228
DISCIPLINA_2;T01;ACADÊMICO_229
