ID do Aluno;Curso
ALUNO_1;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_2;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_3;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_4;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_5;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_6;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_7;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_8;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_9;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_10;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_11;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_12;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_13;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_14;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_15;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_16;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_17;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_18;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_19;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_20;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_21;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_22;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_23;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_24;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_25;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_26;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_27;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_28;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_29;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_30;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_31;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_32;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
ALUNO_33;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO
